Date,Open,High,Low,Close
2016-02-24,15851.129883000001,16006.450195,15753.769531,15915.790038999998
2016-02-23,16230.379883000001,16350.379883000001,16001.19043,16052.049805
2016-02-22,15851.389647999998,16187.400391,15816.830078,16111.049805
2016-02-19,16050.400391,16050.459961000002,15799.349609,15967.169922
2016-02-18,16138.080078,16337.589844,16118.799805,16196.799805
2016-02-17,16035.349609,16214.660156,15632.120116999999,15836.360352000002
2016-02-16,15849.469727000002,16341.55957,15809.580078,16054.429688
2016-02-15,15248.379883000001,16155.099609,15243.879883000001,16022.580078
2016-02-12,15426.269531,15437.219727000002,14865.769531,14952.610352000002
2016-02-10,16127.860352000002,16163.030272999998,15429.990234,15713.389647999998
2016-02-09,16666.789062,16668.699219,16025.94043,16085.44043
2016-02-08,16620.910156,17099.009766,16552.300781,17004.300781
2016-02-05,16790.529297,16893.119141,16627.800781,16819.589844
2016-02-04,17071.109375,17209.560547,16941.880859,17044.990234
2016-02-03,17497.410156,17515.679688,17080.570312,17191.25
2016-02-02,17716.519531,17864.699219,17684.660156,17750.679688
2016-02-01,17699.599609,17905.369141,17666.480469,17865.230469
2016-01-29,17155.060547,17638.929688,16767.089844,17518.300781
2016-01-28,17059.839844,17235.439453,16942.130859,17041.449219
2016-01-27,16949.189453,17242.269531,16947.949219,17163.919922
2016-01-26,16833.130859,16839.519531,16652.259766,16708.900391
2016-01-25,17145.810547,17208.240234,16922.210938,17110.910156
2016-01-22,16336.719727000002,16993.960938,16332.450195,16958.529297
2016-01-21,16466.859375,16734.580078,16017.259766,16017.259766
2016-01-20,17030.279297,17031.320312,16387.609375,16416.189453
2016-01-19,16902.289062,17088.310547,16812.650391,17048.369141
2016-01-18,16826.929688,17037.259766,16665.050781,16955.570312
2016-01-15,17522.460938,17597.869141,17057.599609,17147.109375
2016-01-14,17384.929688,17393.830078,16944.410156,17240.949219
2016-01-13,17449.119141,17717.75,17414.550781,17715.630859
2016-01-12,17470.929688,17546.570312,17184.779297,17218.960938
2016-01-08,17562.230469,17975.310547,17509.640625,17697.960938
2016-01-07,18139.769531,18172.039062,17767.339844,17767.339844
2016-01-06,18410.570312,18469.380859,18064.300781,18191.320312
2016-01-05,18398.759766,18547.380859,18327.519531,18374.0
2016-01-04,18818.580078,18951.119141,18394.429688,18450.980469
2015-12-30,19070.830078,19113.179688,19017.269531,19033.710938
2015-12-29,18843.390625,18991.009766,18783.359375,18982.230469
2015-12-28,18838.910156,18922.900391,18764.539062,18873.349609
2015-12-25,18823.910156,18870.699219,18744.439453,18769.060547
2015-12-24,19071.410156,19071.410156,18780.939453,18789.689453
2015-12-22,18927.859375,18943.460938,18824.650391,18886.699219
2015-12-21,18845.5,18979.830078,18651.130859,18916.019531
2015-12-18,19320.460938,19869.080078,18982.25,18986.800781
2015-12-17,19364.570312,19507.169922,19325.150391,19353.560547
2015-12-16,18868.199219,19054.890625,18859.109375,19049.910156
2015-12-15,18869.039062,18897.869141,18562.509766,18565.900391
2015-12-14,18887.089844,18911.779297,18611.089844,18883.419922
2015-12-11,19020.75,19282.210938,19020.75,19230.480469
2015-12-10,19070.019531,19125.060547,19025.779297,19046.550781
2015-12-09,19391.5,19475.400391,19260.119141,19301.070312
2015-12-08,19689.869141,19764.210938,19475.279297,19492.599609
2015-12-07,19710.390625,19811.509766,19677.210938,19698.150391
2015-12-04,19616.519531,19660.900391,19444.539062,19504.480469
2015-12-03,19894.630859,19967.880859,19862.740234,19939.900391
2015-12-02,19957.5,20002.119141,19926.220703,19938.130859
2015-12-01,19799.080078,20012.400391,19797.550781,20012.400391
2015-11-30,19857.380859,19867.949219,19707.669922,19747.470703
2015-11-27,19994.050781,19994.050781,19831.25,19883.939453
2015-11-26,19929.970703,19992.439453,19926.099609,19944.410156
2015-11-25,19856.839844,19871.75,19786.529297,19847.580078
2015-11-24,19875.990234,19954.0,19834.759766,19924.890625
2015-11-20,19800.199219,19879.810547,19715.740234,19879.810547
2015-11-19,19851.240234,19959.060547,19761.560547,19859.810547
2015-11-18,19771.859375,19840.0,19643.970703,19649.179688
2015-11-17,19641.669922,19726.009766,19628.839844,19630.630859
2015-11-16,19263.960938,19451.089844,19252.039062,19393.689453
2015-11-13,19495.259766,19601.490234,19388.910156,19596.910156
2015-11-12,19644.650391,19725.830078,19597.990234,19697.769531
2015-11-11,19602.009766,19724.119141,19602.009766,19691.390625
2015-11-10,19457.050781,19674.050781,19457.050781,19671.259766
2015-11-09,19411.509766,19684.410156,19389.740234,19642.740234
2015-11-06,19194.339844,19294.150391,19164.859375,19265.599609
2015-11-05,19029.439453,19167.089844,18995.960938,19116.410156
2015-11-04,18941.320312,19151.890625,18926.910156,18926.910156
2015-11-02,18827.109375,18861.109375,18641.220703,18683.240234
2015-10-30,18924.310547,19202.339844,18784.689453,19083.099609
2015-10-29,19046.160156,19080.890625,18809.480469,18935.710938
2015-10-28,18826.939453,18925.509766,18815.119141,18903.019531
2015-10-27,18961.160156,18964.990234,18760.789062,18777.039062
2015-10-26,19036.130859,19088.759766,18937.449219,18947.119141
2015-10-23,18762.650391,18915.640625,18746.609375,18825.300781
2015-10-22,18443.689453,18579.140625,18376.009766,18435.869141
2015-10-21,18167.640625,18605.410156,18167.640625,18554.279297
2015-10-20,18245.539062,18253.130859,18147.980469,18207.150391
2015-10-19,18282.779297,18314.089844,18078.429688,18131.230469
2015-10-16,18300.830078,18397.519531,18238.779297,18291.800781
2015-10-15,17804.910156,18170.669922,17758.119141,18096.900391
2015-10-14,18106.660156,18126.390625,17831.529297,17891.0
2015-10-13,18335.150391,18359.710938,18223.800781,18234.740234
2015-10-09,18281.509766,18438.669922,18184.960938,18438.669922
2015-10-08,18310.619141,18400.689453,18121.679688,18141.169922
2015-10-07,18168.199219,18379.230469,18043.080078,18322.980469
2015-10-06,18302.410156,18372.720703,18094.849609,18186.099609
2015-10-05,17921.0,18079.460938,17869.740234,18005.490234
2015-10-02,17564.390625,17775.769531,17537.849609,17725.130859
2015-10-01,17479.970703,17831.580078,17389.570312,17722.419922
2015-09-30,17193.839844,17460.970703,17179.400391,17388.150391
2015-09-29,17359.380859,17366.949219,16901.490234,16930.839844
2015-09-28,17811.119141,17886.490234,17562.599609,17645.109375
2015-09-25,17618.300781,17880.509766,17483.689453,17880.509766
2015-09-24,17803.410156,17865.839844,17571.830078,17571.830078
2015-09-18,18275.480469,18295.900391,18069.5,18070.210938
2015-09-17,18361.990234,18468.199219,18289.630859,18432.269531
2015-09-16,18238.150391,18291.970703,18094.990234,18171.599609
2015-09-15,18082.720703,18329.570312,17995.980469,18026.480469
2015-09-14,18341.009766,18344.070312,17925.089844,17965.699219
2015-09-11,18155.710938,18362.990234,18124.349609,18264.220703
2015-09-10,18418.640625,18420.560547,17956.150391,18299.619141
2015-09-09,17758.130859,18770.509766,17756.759766,18770.509766
2015-09-08,17941.910156,17962.560547,17415.609375,17427.080078
2015-09-07,17674.820312,18013.640625,17478.720703,17860.470703
2015-09-04,18312.130859,18312.130859,17608.169922,17792.160156
2015-09-03,18359.349609,18481.570312,18176.75,18182.390625
2015-09-02,17861.810547,18467.439453,17857.300781,18095.400391
2015-09-01,18763.720703,18777.470703,18165.689453,18165.689453
2015-08-31,19006.980469,19019.609375,18749.769531,18890.480469
2015-08-28,18908.730469,19192.820312,18901.089844,19136.320312
2015-08-27,18680.470703,18810.050781,18486.460938,18574.439453
2015-08-26,17894.289062,18442.839844,17714.300781,18376.830078
2015-08-25,18171.660156,18835.349609,17747.5,17806.699219
2015-08-24,19075.050781,19154.650391,18498.800781,18540.679688
2015-08-21,19711.339844,19737.539062,19435.830078,19435.830078
2015-08-20,20194.259766,20246.470703,20033.289062,20033.519531
2015-08-19,20467.490234,20521.970703,20218.029297,20222.630859
2015-08-18,20640.589844,20663.179688,20545.25,20554.470703
2015-08-17,20600.160156,20668.869141,20541.0,20620.259766
2015-08-14,20518.359375,20605.460938,20484.669922,20519.449219
2015-08-13,20392.539062,20633.910156,20306.980469,20595.550781
2015-08-12,20632.679688,20703.199219,20303.019531,20392.769531
2015-08-11,20920.599609,20946.929688,20582.009766,20720.75
2015-08-10,20618.310547,20820.859375,20617.050781,20808.689453
2015-08-07,20601.570312,20754.0,20567.509766,20724.560547
2015-08-06,20768.769531,20817.480469,20664.439453,20664.439453
2015-08-05,20490.150391,20715.480469,20469.869141,20614.060547
2015-08-04,20462.179688,20552.039062,20448.490234,20520.359375
2015-08-03,20540.210938,20562.199219,20396.5,20548.109375
2015-07-31,20506.550781,20585.240234,20466.800781,20585.240234
2015-07-30,20450.609375,20583.570312,20443.890625,20522.830078
2015-07-29,20425.689453,20425.689453,20205.210938,20302.910156
2015-07-28,20188.570312,20423.580078,20070.619141,20328.890625
2015-07-27,20374.050781,20486.929688,20278.730469,20350.099609
2015-07-24,20603.630859,20631.539062,20527.779297,20544.529297
2015-07-23,20693.570312,20708.230469,20648.759766,20683.949219
2015-07-22,20657.800781,20677.839844,20576.189453,20593.669922
2015-07-21,20763.310547,20850.0,20710.339844,20841.970703
2015-07-17,20646.630859,20658.949219,20611.220703,20650.919922
2015-07-16,20588.980469,20612.5,20522.25,20600.119141
2015-07-15,20478.849609,20496.599609,20401.089844,20463.330078
2015-07-14,20355.330078,20435.529297,20322.199219,20385.330078
2015-07-13,19929.919922,20120.150391,19911.390625,20089.769531
2015-07-10,19829.929688,19978.240234,19720.150391,19779.830078
2015-07-09,19422.779297,19855.5,19115.199219,19855.5
2015-07-08,20282.490234,20310.890625,19737.640625,19737.640625
2015-07-07,20354.230469,20428.0,20337.179688,20376.589844
2015-07-06,20200.150391,20310.720703,20012.230469,20112.119141
2015-07-03,20476.689453,20557.509766,20431.25,20539.789062
2015-07-02,20565.939453,20601.730469,20479.849609,20522.5
2015-07-01,20291.050781,20346.740234,20225.269531,20329.320312
2015-06-30,20174.609375,20243.179688,20118.259766,20235.730469
2015-06-29,20305.970703,20361.599609,20093.160156,20109.949219
2015-06-26,20758.429688,20785.759766,20650.0,20706.150391
2015-06-25,20777.689453,20866.580078,20758.599609,20771.400391
2015-06-24,20889.320312,20952.710938,20838.220703,20868.029297
2015-06-23,20547.740234,20809.419922,20531.130859,20809.419922
2015-06-22,20174.140625,20433.300781,20174.140625,20428.189453
2015-06-19,20152.410156,20194.449219,20075.910156,20174.240234
2015-06-18,20193.589844,20200.509766,19990.550781,19990.820312
2015-06-17,20306.099609,20323.080078,20126.570312,20219.269531
2015-06-16,20332.830078,20368.210938,20234.160156,20257.939453
2015-06-15,20205.099609,20401.480469,20205.099609,20387.789062
2015-06-12,20431.779297,20437.259766,20331.189453,20407.080078
2015-06-11,20183.609375,20382.970703,20178.039062,20382.970703
2015-06-10,20126.359375,20264.919922,20016.320312,20046.359375
2015-06-09,20293.050781,20332.419922,20095.480469,20096.300781
2015-06-08,20537.849609,20544.939453,20359.060547,20457.189453
2015-06-05,20398.759766,20480.25,20363.179688,20460.900391
2015-06-04,20539.939453,20552.460938,20438.210938,20488.189453
2015-06-03,20443.150391,20506.349609,20397.730469,20473.509766
2015-06-02,20604.669922,20619.609375,20470.259766,20543.189453
2015-06-01,20444.539062,20595.410156,20410.269531,20569.869141
2015-05-29,20510.269531,20636.410156,20508.400391,20563.150391
2015-05-28,20590.279297,20655.330078,20473.269531,20551.460938
2015-05-27,20380.640625,20513.220703,20363.210938,20472.580078
2015-05-26,20431.269531,20473.849609,20378.769531,20437.480469
2015-05-25,20331.919922,20417.769531,20318.539062,20413.769531
2015-05-22,20208.849609,20278.310547,20130.839844,20264.410156
2015-05-21,20215.460938,20320.900391,20175.779297,20202.869141
2015-05-20,20175.589844,20278.890625,20148.509766,20196.560547
2015-05-19,19977.140625,20087.699219,19946.75,20026.380859
2015-05-18,19766.160156,19890.269531,19741.220703,19890.269531
2015-05-15,19693.169922,19750.759766,19633.75,19732.919922
2015-05-14,19661.519531,19717.800781,19546.820312,19570.240234
2015-05-13,19568.759766,19791.880859,19494.699219,19764.720703
2015-05-12,19608.230469,19626.75,19467.650391,19624.839844
2015-05-11,19637.580078,19679.630859,19586.810547,19620.910156
2015-05-08,19315.630859,19458.75,19302.710938,19379.189453
2015-05-07,19356.460938,19461.080078,19257.849609,19291.990234
2015-05-06,19510.849609,19549.390625,19399.160156,19531.630859
2015-05-05,19510.849609,19549.390625,19399.160156,19531.630859
2015-05-01,19510.849609,19549.390625,19399.160156,19531.630859
2015-04-30,19847.5,19852.660156,19502.609375,19520.009766
2015-04-28,20068.650391,20133.779297,20031.710938,20058.949219
2015-04-27,20063.800781,20069.240234,19909.859375,19983.320312
2015-04-24,20142.470703,20142.470703,20013.740234,20020.039062
2015-04-23,20227.279297,20252.119141,20116.189453,20187.650391
2015-04-22,19999.839844,20144.660156,19983.0,20133.900391
2015-04-21,19731.570312,19909.089844,19678.220703,19909.089844
2015-04-20,19501.0,19725.859375,19474.230469,19634.490234
2015-04-17,19810.400391,19815.25,19638.369141,19652.880859
2015-04-16,19862.480469,19894.349609,19742.119141,19885.769531
2015-04-15,19838.529297,19913.419922,19823.859375,19869.759766
2015-04-14,19828.650391,19922.5,19828.650391,19908.679688
2015-04-13,19967.380859,19975.660156,19825.689453,19905.460938
